ISIN_First2,Unnamed: 1,Unnamed: 2,ISIN,NAME,x1999,x2000,x2001,x2002,x2003,x2004,x2005,x2006,x2007,x2008,x2009,x2010,x2011,x2012,x2013,x2014,x2015,x2016,x2017,x2018,x2019,x2020,x2021,x2022
CH,SWITZERLAND,EUR,CH0000816824,OC OERLIKON CORPORATION,179.74,202.51,97.55,61.17,131.92,93.83,141.78,466.03,394.69,61.21,28.94,35.88,36.71,78.95,107.27,91.59,66.71,75.82,133.77,90.76,102.49,102.39,105.0,70.35
CH,SWITZERLAND,EUR,CH0008742519,SWISSCOM 'R',120.69,80.02,89.02,98.89,118.4,145.97,120.56,151.34,162.63,140.2,178.85,217.39,197.62,237.83,308.28,319.22,317.26,295.74,368.27,345.86,402.44,427.72,467.87,472.16
CH,SWITZERLAND,EUR,CH0010570759,CHOCOLADEFABRIKEN LINDT & SPRUENGLI,808.29,984.48,943.87,1046.27,1520.96,2516.53,2889.78,4400.61,6193.01,3779.78,4446.01,5923.82,6244.64,7112.92,10342.74,11140.5,14607.54,12067.48,14519.29,15112.69,18178.46,21022.37,28533.02,22079.5
CH,SWITZERLAND,EUR,CH0011075394,ZURICH INSURANCE GROUP,2878.33,3122.49,1247.51,661.72,1020.81,1182.6,1506.85,1938.76,2186.96,1662.82,1811.67,2281.75,2134.78,2684.22,3134.53,3607.57,3129.35,3625.75,4254.4,4406.82,6440.44,7074.05,7738.78,8836.55
CH,SWITZERLAND,EUR,CH0012005267,NOVARTIS 'R',2428.79,3075.74,2546.56,2606.32,3307.52,3736.57,3955.38,4415.68,4290.72,3993.46,4614.95,5155.59,5238.14,5983.97,7914.69,9494.96,9101.11,7940.86,9543.83,9974.27,12962.31,13395.99,12950.91,13833.87
CH,SWITZERLAND,EUR,CH0012032048,ROCHE HOLDING,901.72,807.21,570.95,563.21,828.93,958.06,1266.1,1533.24,1503.19,1359.82,1566.08,1398.63,1699.66,2093.41,3018.28,3012.6,3158.11,2701.87,3083.64,3123.01,4232.65,4696.42,5755.8,4456.0
CH,SWITZERLAND,EUR,CH0012138530,CREDIT SUISSE GROUP DEAD - DELIST.14/06/23,1117.72,1097.51,1040.13,563.7,953.5,1108.26,1380.43,1946.25,1725.84,801.07,1485.12,1263.45,763.14,822.99,1067.12,901.78,796.47,572.31,771.16,480.36,605.15,593.46,452.88,149.14
CH,SWITZERLAND,EUR,CH0012138605,ADECCO GROUP,354.3,289.57,250.31,182.25,302.46,239.7,222.56,334.53,268.97,171.28,290.18,350.06,228.25,297.08,465.68,417.64,426.14,421.79,508.34,321.51,455.0,512.94,407.28,279.31
CH,SWITZERLAND,EUR,CH0012142631,CLARIANT,254.91,195.8,103.02,88.17,81.4,101.3,93.49,96.64,60.89,44.92,79.27,136.26,66.89,93.93,130.87,122.62,141.19,131.65,218.1,146.3,182.48,203.62,207.02,160.67
CH,SWITZERLAND,EUR,CH0012214059,HOLCIM,1620.67,1513.35,1042.21,833.03,1148.24,1548.86,1776.64,2473.31,2940.05,1606.31,2413.7,2394.64,1734.16,2401.56,2507.75,2439.03,1823.41,1981.81,2194.22,1659.13,2327.14,2438.44,2344.55,2493.41
CH,SWITZERLAND,EUR,CH0012221716,ABB LTD N,2064.1,1837.85,681.04,200.86,451.6,497.43,861.75,1605.33,2610.09,1349.45,1824.09,2169.39,1883.27,2120.47,2821.24,2350.92,2055.64,2515.12,3298.7,2420.3,3203.53,3889.16,5478.86,4613.52
