ISIN_First2,Unnamed: 1,Unnamed: 2,ISIN,NAME,x1999,x2000,x2001,x2002,x2003,x2004,x2005,x2006,x2007,x2008,x2009,x2010,x2011,x2012,x2013,x2014,x2015,x2016,x2017,x2018,x2019,x2020,x2021,x2022
DK,DENMARK,EUR,DK0010181759,CARLSBERG B,,,,19.63,15.02,15.72,16.37,14.3,18.48,43.34,56.13,61.11,71.85,68.74,68.83,71.99,70.08,69.37,70.5,69.43,73.95,75.56,73.05,72.7
DK,DENMARK,EUR,DK0010219153,ROCKWOOL B,,,,,,,,,14.39,36.58,59.58,54.03,49.81,54.61,55.77,54.18,56.06,59.32,58.48,62.07,66.66,66.12,66.49,65.44
DK,DENMARK,EUR,DK0010234467,FLSMIDTH AND CO.,,,,,,,20.13,17.1,21.54,34.07,37.71,55.32,56.79,58.76,63.9,66.29,61.64,64.91,68.11,69.49,62.29,57.49,53.36,60.08
DK,DENMARK,EUR,DK0010244508,A P MOLLER MAERSK B,,,,10.73,16.93,17.86,16.4,18.73,31.19,45.45,62.79,61.86,60.46,59.82,57.08,51.95,61.1,56.55,57.74,61.58,66.57,65.83,67.13,67.77
DK,DENMARK,EUR,DK0010272632,GN STORE NORD,,,,25.96,27.0,29.88,33.16,30.36,16.49,34.57,29.07,28.45,47.53,47.8,47.22,53.45,48.66,59.18,48.43,50.2,51.08,56.31,55.64,60.91
DK,DENMARK,EUR,DK0010274414,DANSKE BANK,,,,,,,44.99,56.55,63.04,70.06,73.03,76.17,77.67,72.94,72.41,67.77,63.0,62.56,69.38,73.82,73.0,73.98,74.94,69.45
DK,DENMARK,EUR,DK0010287663,NKT,,,,18.85,18.93,32.77,15.99,15.64,28.29,39.06,57.89,51.98,43.79,48.97,55.51,51.51,44.61,39.88,41.74,53.53,53.76,56.58,58.07,56.41
DK,DENMARK,EUR,DK0010307958,JYSKE BANK,,,,,,13.31,9.36,8.98,3.7,5.6,4.43,9.61,12.31,11.64,14.6,26.73,40.64,42.91,42.48,43.87,50.84,44.79,47.28,47.44
DK,DENMARK,EUR,DK0010311471,SYDBANK,,,,,,6.81,7.7,6.82,10.2,8.19,12.41,12.72,9.7,11.6,13.47,17.8,16.46,25.13,28.69,29.01,29.7,47.24,42.67,34.84
DK,DENMARK,EUR,DK0060079531,DSV,,,,17.7,30.47,24.04,12.44,23.5,31.66,23.83,29.32,41.57,51.74,45.08,50.62,58.18,64.2,55.92,60.37,64.39,66.14,71.9,72.56,79.16
DK,DENMARK,EUR,DK0060336014,NOVOZYMES B,,,,,71.24,76.31,43.08,42.37,66.14,58.7,66.94,68.59,72.59,75.31,70.11,74.73,76.1,78.68,76.82,78.48,79.97,77.06,74.08,72.13
DK,DENMARK,EUR,DK0060448595,COLOPLAST B,,,,36.4,40.64,37.45,41.84,48.48,47.46,56.91,59.8,59.14,55.87,54.51,54.23,54.55,63.36,63.13,59.38,60.24,61.5,68.3,68.0,71.45
DK,DENMARK,EUR,DK0060477503,TOPDANMARK,,,,14.17,12.95,17.52,33.93,25.26,28.06,34.17,36.85,37.71,41.14,36.51,38.55,39.76,36.96,36.72,40.61,41.15,43.07,43.75,55.1,51.3
DK,DENMARK,EUR,DK0060636678,TRYG,,,,,,19.67,15.7,30.31,53.59,56.75,52.15,67.23,55.07,42.97,45.86,48.4,44.27,45.59,42.57,40.51,48.91,51.89,65.97,58.3
DK,DENMARK,EUR,DK0060738599,DEMANT,,,,16.82,11.99,9.96,18.77,8.97,13.42,11.63,7.5,13.64,11.63,25.33,25.21,33.3,35.94,39.03,43.57,45.96,45.23,46.55,48.82,52.93
DK,DENMARK,EUR,DK0061539921,VESTAS WINDSYSTEMS,,,,48.78,41.98,38.66,40.88,47.24,54.24,60.81,70.42,70.91,67.58,62.88,68.55,64.28,58.21,62.27,74.66,80.67,72.51,77.47,70.8,69.32
DK,DENMARK,EUR,DK0061804697,H LUNDBECK A,,,,34.52,22.41,33.19,42.28,41.75,28.21,33.53,29.02,43.68,50.64,55.86,54.72,50.39,46.77,42.93,47.85,50.12,58.39,61.25,59.46,53.95
ES,SPAIN,EUR,ES0109427734,ATRESMEDIA CORP,,,,24.24,16.73,28.97,32.73,30.12,51.77,56.62,45.82,50.68,79.86,71.07,67.71,71.74,75.78,66.46,66.99,73.21,70.16,76.38,72.09,71.17
ES,SPAIN,EUR,ES0112501012,EBRO FOODS,,,,11.35,31.71,25.92,27.11,34.51,27.09,42.63,52.42,50.13,52.0,49.91,48.2,60.71,60.57,60.29,59.05,61.04,64.44,68.0,68.05,69.15
ES,SPAIN,EUR,ES0113211835,BBV.ARGENTARIA,,,,71.53,84.41,68.01,64.31,68.5,88.07,85.5,86.76,82.94,84.89,83.41,83.83,87.06,90.21,87.41,91.17,87.25,81.31,78.92,86.1,88.68
ES,SPAIN,EUR,ES0113679I37,BANKINTER 'R',,,,,,34.55,37.89,44.6,71.07,76.74,77.83,79.07,74.54,76.94,68.28,74.31,72.5,74.97,76.38,77.55,79.05,79.65,77.57,76.19
ES,SPAIN,EUR,ES0113860A34,BANCO DE SABADELL,,,,,,46.18,52.73,54.22,65.1,66.99,53.19,70.95,66.87,69.73,64.99,60.2,70.15,67.42,64.86,77.04,79.11,79.06,83.49,90.17
ES,SPAIN,EUR,ES0113900J37,BANCO SANTANDER,,,,62.89,53.2,48.54,61.07,67.09,77.19,81.39,87.8,87.36,84.62,81.51,83.57,86.21,86.02,88.79,88.9,90.35,91.33,91.64,92.49,89.37
ES,SPAIN,EUR,ES0116870314,NATURGY ENERGY,,,,,,,59.58,56.03,63.94,61.4,58.16,68.32,74.18,76.7,77.42,77.84,78.92,78.7,81.31,78.93,80.13,80.03,79.08,78.77
ES,SPAIN,EUR,ES0117160111,CORPORACION FINCA.ALBA,,,,,,24.63,29.38,23.26,30.53,21.36,17.02,8.47,16.02,12.32,21.45,12.21,11.5,15.61,21.15,22.55,46.1,63.96,54.96,53.72
ES,SPAIN,EUR,ES0118594417,INDRA SISTEMAS,,,,41.69,46.53,52.9,48.21,52.15,62.41,70.2,79.95,74.04,65.49,66.93,67.31,82.62,75.22,72.97,77.92,78.23,76.1,70.08,79.04,76.93
ES,SPAIN,EUR,ES0122060314,FOMENTO CONSTR.Y CNTR.,,,,31.34,19.83,24.09,35.73,38.21,58.51,71.79,80.33,72.01,62.9,59.77,60.03,59.26,62.91,62.43,59.61,60.19,63.83,60.4,63.28,
ES,SPAIN,EUR,ES0124244E34,MAPFRE,,,,29.01,23.3,62.65,45.5,23.38,30.03,52.8,63.67,56.9,60.86,61.71,65.7,65.66,65.34,74.94,72.69,84.56,76.98,66.38,74.86,74.75
ES,SPAIN,EUR,ES0125220311,ACCIONA,,,,,,63.96,73.51,80.79,88.66,78.32,80.74,82.52,85.03,78.94,77.42,78.68,77.94,83.0,83.94,89.93,87.97,88.22,86.11,85.97
ES,SPAIN,EUR,ES0130670112,ENDESA,,,,,,45.19,53.43,58.19,65.64,90.88,93.16,90.49,82.74,72.04,74.28,72.12,74.55,75.44,77.2,83.77,83.39,86.32,86.99,82.97
