ISIN_First2,Unnamed: 1,Unnamed: 2,ISIN,NAME,x1999,x2000,x2001,x2002,x2003,x2004,x2005,x2006,x2007,x2008,x2009,x2010,x2011,x2012,x2013,x2014,x2015,x2016,x2017,x2018,x2019,x2020,x2021,x2022
NO,NORWAY ,EUR,NO0003054108,MOWI,224.33,874.68,217.65,16.23,121.89,154.26,427.02,3179.08,2236.03,521.68,2618.3,3794.79,1551.76,3448.48,4995.39,5632.22,6081.56,8141.34,8329.92,10887.89,13429.03,11535.67,12238.3,8776.88
NO,NORWAY ,EUR,NO0003078800,TGS,249.36,290.75,339.76,192.59,339.57,648.31,1223.48,2204.55,1457.51,527.12,1887.85,2341.24,2296.22,3373.24,2743.8,2225.38,1631.61,2274.64,2429.97,2475.16,3614.32,1818.06,1126.43,1673.99
NO,NORWAY ,EUR,NO0003733800,ORKLA,3764.5,4325.99,3715.5,3734.4,4790.85,7028.33,8597.89,11809.14,20187.39,6678.7,10125.81,10037.09,7698.06,8879.83,7947.39,6951.38,8069.59,9256.87,10844.14,8006.29,10138.2,10175.74,10034.4,7211.61
NO,NORWAY ,EUR,NO0005052605,NORSK HYDRO,11145.29,11276.34,11175.95,11948.78,16449.93,20787.76,26502.17,40238.39,18503.98,4954.69,10456.62,11884.39,9617.02,10365.04,9231.74,11711.6,7744.09,9927.11,15771.7,9368.7,7685.21,9632.15,16311.16,15399.37
NO,NORWAY ,EUR,NO0010199151,PGS,1807.4,1346.3,800.79,38.34,781.63,1249.87,1843.09,4235.22,5229.41,710.79,2279.29,3404.25,2388.59,3731.62,2565.05,1229.95,983.88,1148.57,689.22,461.78,662.73,237.25,166.75,647.24
NO,NORWAY ,EUR,NO0010861990,PROSAFE,264.81,403.73,451.13,463.2,683.96,921.82,1442.45,3268.27,4001.75,853.8,1466.76,1835.54,1579.28,1955.11,1820.3,723.89,615.83,306.91,118.43,127.13,19.66,10.38,158.05,114.51
NO,NORWAY ,EUR,NO0012470089,TOMRA SYSTEMS,1410.36,3413.32,1708.85,1161.95,1075.83,981.33,1273.16,1199.19,1167.72,522.48,719.35,988.08,994.58,1336.52,1378.49,1135.19,1597.03,1556.26,2379.73,3329.91,4689.59,7305.93,10591.68,4976.58
PT,PORTUGAL ,EUR,PTBCP0AM0015,BANCO COMR.PORTUGUES 'R',5523.64,10836.97,9426.4,5566.61,7272.37,8367.84,8952.69,13333.6,15416.85,5318.61,5691.41,3665.39,1272.4,1948.71,4518.83,4308.51,3136.26,1067.08,4936.36,3965.09,3440.67,2278.32,2421.73,2361.54
PT,PORTUGAL ,EUR,PTEDP0AM0009,EDP ENERGIAS DE PORTUGAL,10423.74,9914.28,6517.82,5005.31,7908.59,11082.96,11214.23,18514.98,23895.88,13698.41,15591.36,11684.52,10852.73,8865.14,11360.59,12023.53,11139.72,11161.38,12667.04,12744.39,15860.02,25018.13,21791.13,19706.34
PT,PORTUGAL ,EUR,PTJMT0AE0001,JERONIMO MARTINS,2431.43,986.15,786.48,696.39,1264.73,1659.33,1885.43,2821.32,4968.12,3472.85,6306.44,9624.03,10448.27,12113.42,12326.76,6346.93,8200.08,9783.63,12237.51,7438.15,10359.33,10641.06,14384.16,13553.43
