ISIN,NAME,x1999,x2000,x2001,x2002,x2003,x2004,x2005,x2006,x2007,x2008,x2009,x2010,x2011,x2012,x2013,x2014,x2015,x2016,x2017,x2018,x2019,x2020,x2021,x2022
US5260571048,LENNAR 'A',,,,0,0,0,0,0,0,0,0,0,7.6,6.78,5.45,5.58,11.49,26.4,28.53,30.37,29.64,27.52,28.94,59.36
US5324571083,ELI LILLY,,,,16.7,7.89,10.32,69.39,45.51,55.2,63.08,68.43,72.7,69.32,70.69,69.59,72.16,74,78.6,80.22,86.1,85.86,86.28,77.05,
US5341871094,LINCOLN NATIONAL,,,,28.38,28.42,28.33,41.5,39.97,35.11,29.16,63.32,64.04,64.54,65.84,68.96,46.44,49.63,50.4,70.51,45.02,41.82,41.97,42.4,
US5398301094,LOCKHEED MARTIN,,,,6.06,8.26,16.36,45.45,46.3,46.69,57.63,50.59,54.84,45.72,50.82,53.81,83.25,86.51,91.59,89.51,88.34,86.69,86.04,86.8,87.05
US5404241086,LOEWS,,,,28.38,28.42,28.33,27.21,26.86,22.98,22.5,21.6,21.04,20.3,19.29,19.9,19.5,21.01,22.38,20.61,22.18,48.8,47.88,44.22,49.35
US5486611073,LOWE'S COMPANIES,,,,3.33,1.52,17.09,15.08,0,58.58,71.26,75.48,77.22,78.38,82.7,74.96,78.63,77.2,76.56,74.55,76.49,75.81,74.53,73.08,69.21
US5502411037,LUMEN TECHNOLOGIES,,,,0,0,0,0,0,0,0,0,17.45,44.57,45.5,45.62,51.91,53.95,57.26,56.5,60.79,57.86,53.15,52.05,
US55261F1049,M&T BANK,,,,27.08,24.6,25.81,25.56,23.63,18.32,18.18,16.54,22.86,21.41,23.42,23.39,23.54,25.98,29.36,35.34,12.55,16.75,66.92,69.83,80.68
US5526901096,MDU RESOURCES GROUP,,,,,,,,,51.01,46.42,46.1,33.99,32.85,30.7,38.04,35.51,29.78,37.54,33.83,31.63,31.67,22.1,25.43,34.63
US5529531015,MGM RESORTS INTL.,,,,0,0,0,0,0,18.04,36.09,50.83,48.83,73.26,68.33,73.85,65.68,73.51,81.78,86.59,88.59,85.69,84.38,89.5,91.43
US5543821012,MACERICH,,,,,,18.57,0,0,10.34,33.11,36.12,51.37,63.62,60.03,67.4,66.88,86.61,92.02,89.75,92.89,93.4,95.86,94.91,92.87
US55616P1049,MACY'S,,,,0,0,0,0,10.1,17.31,32.68,37.61,36.87,35.45,47.35,49.82,46.34,57.04,49.63,51.21,47.29,52.78,43.51,57.21,56.57
US5635714059,MANITOWOC,,,,,,,0,0,5.34,2.67,42.52,38.51,29.77,27.24,0,0,0,0,2.71,2.88,16.26,19.23,17.01,24.37
US56418H1005,MANPOWERGROUP,,,,0,0,0,24.38,47.28,30.14,27.62,26.9,48.16,56.75,56.81,64.01,56.29,50.52,57.12,57.36,60.59,57.37,60.25,54.58,61.43
US5658491064,MARATHON OIL,,,,57.14,56.46,55.73,56.51,20.93,61.17,65.17,60.49,63.11,51.51,48.19,49.76,49.68,51.72,44.01,52.06,50.31,50.08,66.16,50.32,49.91
US5717481023,MARSH & MCLENNAN,,,,28.38,28.42,28.33,27.57,27.15,23.51,24.92,25.17,66.3,58.11,55.98,56,38.87,42.2,44.59,40.72,20.24,20.94,39.41,41.75,43.37
US5719032022,MARRIOTT INTL.'A',,,,0,11.11,12.96,29.24,31.31,76.89,74.06,74.26,78.24,72.09,71.3,68.68,71.54,75.96,81.72,80.64,79.76,81.41,82.69,78.24,75.09
US5732841060,MARTIN MRTA.MATS.,,,,,,5.38,3.58,3.58,5.77,9.78,8.75,11.95,9.2,5.87,5.66,4.99,11.42,16.95,15.97,19.54,20.31,16.6,18.7,19.29
US5738741041,MARVELL TECHNOLOGY,,,,,,0,0,0,18.23,28.19,23.09,42.37,40.6,38.68,38.48,35.67,32.12,33.15,39.17,36.92,37.71,38.21,44.07,47.44
US5745991068,MASCO,,,,19.39,41.6,34.14,38.09,32.99,85.05,75.28,81.25,78.82,75.04,71.28,70.39,11.31,43.05,46.08,66.83,63.64,61.67,65.15,69.53,
US57636Q1040,MASTERCARD,,,,,,,,0,0,0,0,0,31.99,42.43,38.56,29.79,46.05,45.8,72.48,74.91,75.61,76.51,75,
US5770811025,MATTEL,,,,0,0,34.09,43.18,46.59,39.69,32.39,34.09,30.68,37.5,27.27,27.27,32.73,22.55,31.12,24.23,23.39,36.94,36.81,41.62,
US5797802064,MCCORMICK & COMPANY NV.,,,,0,0,0,0,0,2.71,22.9,43.71,40.4,53.22,61.55,64.01,68.9,53.35,68.9,75.12,91.12,91.41,89.77,93.11,
US5801351017,MCDONALDS,,,,30.09,26.48,33.33,67.09,70.51,64.9,72.85,69.16,70.83,67.48,71.06,67.63,71.84,71.65,71.8,82.89,91.01,89.37,92.47,81.01,
US58155Q1031,MCKESSON,,,,,,,35.77,29.91,28.72,44.46,54.03,53.9,43.85,41.14,42.18,45.8,47.21,48.68,60.5,70.05,66.66,58.6,61.03,62.04
US58933Y1055,MERCK & COMPANY,,,,38.14,38.9,59.75,55.75,67.86,53.32,87.02,77.83,82.31,79.05,77.19,73.92,72.92,69.18,70.3,76,77.36,78.89,79.71,82.82,80.89
US59156R1086,METLIFE,,,,28.38,28.42,28.33,27.21,26.86,22.98,57.77,54.58,56.96,79.16,82.44,84.77,86.67,88.32,89.81,88.5,69.24,84.95,82.65,82.49,
US5949181045,MICROSOFT,,,,0,0,14.14,18.52,31.5,92.61,80.69,83.62,85.22,84.88,84.21,79.97,80.03,80.75,79.75,77.58,77.3,77.86,77.86,77.76,78.01
US5950171042,MICROCHIP TECH.,,,,,,0,0,0,0,0,7.18,18.13,66.52,67.14,60.98,64.53,57.13,59.08,56.55,56.79,56.79,56.71,57.04,68.14
US5951121038,MICRON TECHNOLOGY,,,,15,16.39,10.95,10.91,14.76,21.03,27.82,28.57,31.22,20.75,25.67,22.82,29.15,48.02,53,52.3,57.93,63.25,64.11,64.18,62.47
US6005441000,MILLERKNOLL,,,,,,,,,70.14,79.98,79.05,79.31,79.79,79.73,78.1,78.32,76.8,78.68,77.4,78.04,74.2,70.82,65.98,72.85
US6081901042,MOHAWK INDUSTRIES,,,,,,0,0,0,28.88,52.79,38.79,39.92,36.26,28.38,38.12,41.96,45.88,44.9,45.83,45.27,49.94,50.32,54.69,60.44
US60871R2094,MOLSON COORS BEVERAGE COMPANY B,,,,0,0,0,0,0.99,46.54,61.99,68.17,69.65,66.07,63.95,66.55,68.99,69.09,66.22,56.87,57.3,61.36,59.11,60.88,
US6092071058,MONDELEZ INTERNATIONAL CL.A,,,,0,0,5.35,65.97,67.19,56.14,80.34,78.94,75.55,66.95,68.05,78.16,81.11,87.29,87.51,86.72,85.58,88.87,88.28,88.12,87.4
US6153691059,MOODY'S,,,,,,0,0,0,0,3.97,2.44,13.94,7.38,15.87,17.7,17.26,22.07,38.76,49.97,54.59,62.46,66.46,66.44,66.58
US6174464486,MORGAN STANLEY,,,,27.78,27.78,26.48,40.96,42.64,78.28,78.49,88.08,88.44,93.58,92.25,94.07,91.55,95.88,86.46,88.08,83.76,80.56,78.49,,
US61945C1036,MOSAIC,,,,,,,28.74,28.45,23.62,17.27,28.89,49.77,51.14,45.89,56.42,61.32,57.78,55.46,47.95,46.45,48.04,47.32,50.22,
US6200763075,MOTOROLA SOLUTIONS,,,,27.65,15.88,25.44,65.6,51.84,82.42,79.2,64.01,64.82,68.04,64.06,63.06,62.34,63.24,66.42,66.41,68.02,64.47,67.26,65.57,66.44
US6267171022,MURPHY OIL,,,,0,0,0,0,0,6.03,24.13,19.72,17.51,14.6,14.83,7.44,9.78,16.55,17.09,19.83,20.71,35.95,48.85,46.16,51.89
US62886E1082,NCR VOYIX,,,,0,0,0,0,0,36.96,36.12,53.23,55.28,57.04,56.01,54.65,29.74,36.35,48.14,44.38,44.91,38.65,46.57,45.52,60.9
US62944T1051,NVR,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.81,7,6.4
US62955J1034,NOV,,,,0,0,0,0,0,1.96,1.4,3.49,40.74,54.02,53.19,53.73,47.78,43,45.45,47.3,74.72,63.36,55.05,61.11,57.97
US6311031081,NASDAQ,,,,,,,,,21.9,20.75,24.17,23.27,28.41,32.99,33.76,37.07,58.63,75.85,71.74,32.13,40.48,40.91,43.41,41.44
